Hotel_name,name,rating,review
Hotel Gran Mahakam,Robert Gow,4.0,"Old boutique hotel but very well maintained. Reception, concierge, restaurant, housekeeping and security staff ALL very polite and helpful. In-room amenities are complete . I stayed in a standard room then later upgraded to deluxe suite and found the bedding in both very comfortable. There were insufficient number of power outlets accommodate my laptop and chargers for tablet and phone, so I purchased a cable extension at the Block-M Mall which is conveniently located 200 meters from the hotel. I can highly recommend the Gran Mahakam Hotel for both business and family travel."
Hotel Gran Mahakam,Oggi Gunadi,5.0,"Outstanding service from the first sight. First impression was made by security, valet and bell boy who greet us and assist our luggage, Door girl greet and escort to reception and staff were professionally manner with their smile during assistance. Found the room was well maintain and sanitized label are placed, It creates comfort during the stay @oggihotelreview"
Hotel Gran Mahakam,Fifi Muliadi,5.0,"When I was working, I frequently visited the hotel for meeting, doing lunches and dinners. I have always like this very specialized boutique hotel. And I had my wedding reception there as well handled by Hadi Praja, everything was on point, fantastic, from check in to wedding reception until check out, with my guests all praising the good food and great valet service. The only complaint from them is the access to the hotel on a Saturday night was heavy traffic. Thank you Gran Mahakam"
Hotel Gran Mahakam,Renatha P,5.0,Having all you can eat luncheon in private room for 10pax with round table. Fine dining with good services and friendly staff helping taking pictures of us.Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More
Hotel Gran Mahakam,Swathi V,5.0,"My stay was a combination of quarantine and normal stay. Easily the best quarantine food I have had so far. Delightful desserts included too! The hotel was not fully open due to CoVID closure of the spa and limited pool service. However everything else was delightful. The staff and service was amazing, they assisted swiftly on all matters. The food at the restaurant was delicious. For guests with breakfast options, they even had complimentary in room breakfast."
Hotel Gran Mahakam,Yoelto,4.0,"Good Building, place & location... But little lack of parking....I felt comfort in the building... Homey..And delicious Soto Betawi.Service: 5/5 | Location: 4/5 …More"
Hotel Gran Mahakam,David Lang,5.0,"A true 5-star experience. The staff is very attentive and helpful, the accommodations immaculate, and the room service wonderful. I'd highly recommend if you are staying in South Jakarta.Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
Hotel Gran Mahakam,Aliya Nursabrina,5.0,"Classic, boutique hotel that is always a favorite.Love the buffet either for bfast or dinner so much!Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
Hotel Gran Mahakam,Raymond Valiant Ruritan,4.0,"I should say that is a small hotel but with agreable service. I spent a few times here, specially utilizing the restaurant for breakfast and luncheon meetings. It is acceptable and well served."
Hotel Gran Mahakam,Exao Original,5.0,"Room and facilities are standart of normal hotel but the staff are truly amazing !Very polite & helpful. The hotel also provide place to perform Jumat prayer , awesomeRooms: 4/5 | Service: 5/5 | Location: 5/5 …More"
Hotel Gran Mahakam,Heru Pratomo,5.0,Such a great place to staycation. I would love to stay again later. Thx for services. Breakfast also has a great tasteRooms: 5/5 | Service: 5/5 | Location: 5/5 …More
Hotel Gran Mahakam,T Susatyo,5.0,"Amazing 5 stars hotel in south Jakarta, attentive and helpful staff, luxurious design, super clean room and comfortable bed, food was great..Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
Hotel Gran Mahakam,Adink,4.0,Old hotel. Maintained well. Great location. Tasty breakfastRooms: 4/5 | Service: 5/5 | Location: 5/5 …More
Hotel Gran Mahakam,Anita Harriyanti,5.0,"Nice place, comfort and classy. Lil bit narrow but the interrior is good"
Hotel Gran Mahakam,Emma Ewaldsson,5.0,"After our 24 hour-long flight from Seattle to Jakarta, 3 day-quarantine at the hotel was amazing. All the pain was paid off. Great foods, friendly staff."
Hotel Gran Mahakam,Mida Hardo,5.0,"I stayed at Gran Mahakam for repatriation. We stayed for 10 days 9 night as per the current govenrment regulation. We felt grateful to get the rooms here. The hotel staff we met at the airport was friendly and helpful. He helped us to find the local SIM card, so that we can still continue connected with social media while waiting our PCR result. The check in was flawless and very helpfull as we reached there around 1 AM. Only the access to the hotel was a bit confusing at the start ( due to the regulation, the main street was blocked). However, it got resolved after I called the hotel. The reception gave very clear direction to the driver. The car was very comfortable. They had Alphard to pick us up. We had a nice “sekoteng” ginger sweet drink sent to the room to warm us up. We rested well and very much pampered by the sophisticated menu selections (regular, kids menu, vegetarian, or glutten free menus). We mostly ordered Indonesian food during our stay. I also worked from quarantine. The wifi connection is okay. Few glitches, but still acceptable. I can ask the hotel to help for printing some important documents. Everytime we need extra items (ie adaptor, yoga mat, water bottle), the staffs will provide it immediately. Let me share the pictures that will give you ideas why we enjoyed our stay there. Thanks for everyone there !"
Hotel Gran Mahakam,NATALIA MARGARET THATCHER,4.0,here for a wedding party. Good wedding / gathering space but the parking area is small.
Hotel Gran Mahakam,Annisa Diana,5.0,"One of the most comfortable hotel in South Jakarta. I love the ambience, the cleanliness and how the staff treat us really well. I got the room at 8th floor, with citylight view at night. The location at Blok M is really strategic so we can go everywhere by foot easily. Maybe due to pandemic, they serve basic menu for breakfast so there are not so much variant menu served."
Hotel Gran Mahakam,davy Sukamta,5.0,"The grande old dame, this very beautiful hotel located right in the hearth of Blok M Kebayoran Baru. Designed in art noveau style, this boutique hotel provides decent size rooms, a pool and several restaurants. Service is first rate. The buffet lunch and dinner is great. The bar is cozy. And they provides parking space in the basement"
Hotel Gran Mahakam,Achmad Rafiq Kamaluddin,5.0,"Amazing hotel, when we want to see a hotel like in Europe, we can go to Grand MahakamRooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
Hotel Gran Mahakam,Jane Koh,5.0,Nice boutique hotel with lots of eateries and street food nearby.
Hotel Gran Mahakam,Ayu Andika,5.0,"Excellent hotel with good ambience.great food, Love itRooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
Hotel Gran Mahakam,Ilham Nugraha,5.0,"I enjoy staying at this hotel. All food is delicious! I could eat more and more because it is so tasty. Other than that, I think it is good for one ot two-day stay."
Hotel Gran Mahakam,Arni Pamungkas,5.0,"Small but elegant hotel, often used for a wedding. Covid protocols is well applied in this hotel, nice & friendly staff. But the parking lot is limited specially when there's a wedding"
Hotel Gran Mahakam,Ambrosius Pin Pin Wijaya,5.0,"Their service is fast and friendly. The variety of the food is very good for dinner, a bit limited for breakfast. Taste is fantastic. And the atmosphere is nice and cozy. I love my experience here."
Hotel Gran Mahakam,Putri Nur Indah Pratiwi,5.0,"Vintage architecture style, excellent service, and good attitude.Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
Hotel Gran Mahakam,Bagas Danara,5.0,"Beautiful hotel, good room, great hospitality.Rooms: 5/5 | Service: 5/5 | Location: 5/5 …More"
Hotel Gran Mahakam,Rike Bewinda,5.0,"Was here for having lunch with my best friend. Yes, another birthday treat. It was good. The staff giving a friendly welcome since we come earlier before the restaurant start to open lunch time. They have a lot of variation of food. Yes, its from east to west. Its a complete buffet. I love their sushi, their vegetables stir fry, and their sweet cakes section. They also serve local cuisine and dessert. Love it. They also have a nice restaurant room, pretty decoration and elegant."
Hotel Gran Mahakam,Jessica Krisanti,4.0,"Love the decoration inside the lobby and the ambience for cafe is amazing, but the downside is the parking area. Not enough space."
Hotel Gran Mahakam,Erika Juanita,5.0,I love love love this hotel... This is my first time on the new year staycation... But I really love the interior and all circumstances... Will come back to stay at the hotel Gran Mahakam definitely!!!!
Veranda Hotel at Pakubuwono,Shabrina Indah Fitriani,5.0,"Perfect location, easy to get around. Great ambience. Friendly service. Comfy and clean room. Veranda has a restaurant called Wyl’s Kitchen on the ground floor which is really beautiful for weddings or any events. Spacious parking area. Reasonable prices."
Veranda Hotel at Pakubuwono,Sonny SPH,4.0,"Beautiful hotel with touch of Japanese style locates near to Pakubuwono Signature. The lobby is quite big which could be considered as lounge since has many sofa, chairs and tables with beautiful yet unique ornaments. The front desk has two areas of table for receiving guests with each has its own chair. I occupied two rooms for me and family and the room was nice. The most i liked about the room was its bed, nice one. The restaurant was not big to my opinion but has beautiful theme color of white and space of restaurant could be expanded by using some space next to it of swimming pool area. The menu of the breakfast was not so many but complete one. The most i like about the restaurant is the taste of its food especially sambal and nasi goreng/fried rice, the nasi goreng and sambal really delicious and also not to forget its fried noodle. The swimming pool was not so big with depth of 1.2m but it was good enough and surrounded by green tree and plant and nice flower. The hotel has gym area on the second floor which although not so big but has enough equipments and treadmill completed with toilets with clean arrangement. The parking lot was small either in the basement and outer area and there was no lift to the basement of parking lot so this could be an issue when going to drop and take the suitcase. Just make sure you drop off and load luggages on the lobby area. Still inside the hotel area, next to its restaurant there was another public Japanese restaurant named Sumoji. The hotel has small nice veranda on its front area with beautiful flowers and greenery. One of my issues beside of the drop off luggages was neither the front office officer nor the restaurant officer seemed reluctantly accepted my payment, they seemed would like to delay in accepting the payment. Overall it was nice hotel and worth staying at. Thank you to the all hotel staffs especially Nadya of the restaurant and the security officers. PS: i did notice of the security officers in the main entrance, they welcoming guest and issuing parking ticket. To the management, could you give them small chair to sit so they do not have to standing in hours? sorry this is just my concern."
Veranda Hotel at Pakubuwono,Piter Halim,4.0,"Nice and enjoyable, close to get anywhere, especially to Gandaria City Mal which only around 1KM only. Love the swimming pool, its quite long and not crowded at all. There was nobody at the pool, perhaps because I always swim at the morning :) The Room itself neat and clean, the aircon is cold! Cons : the internet so damn slow. Its a shame the hotel with this quality cant provide better connection. Hopefully in future they will upgrade the bandwith."
Veranda Hotel at Pakubuwono,Eric Effin' P - MTB Content,4.0,"Close to Senayan golf and also PIM golf. It's a good golf hotel for the enthusiastics. Hotel is well positioned just 500m away from Gandaria city. Food is good and the surrounding quiet - request for pool rooms, else the road rooms can be very noisy. Rooms are good and all works well. For those who want to have events there however, be prepared for hectic jams because the carpark is relatively small."
Veranda Hotel at Pakubuwono,Suhaili Abdul Rahman,4.0,Hotel facility seems okay. Located not too far distant from city center. Food served also quite good. Was informed hotel rate also very reasonableService: 4/5 | Location: 3/5 …More
Veranda Hotel at Pakubuwono,Rina,4.0,"Room size is enough for 2 person, clean, breakfast is great, varieties menu, room service is over price, room to room wall is not soundproof, i could heard child voice and peoples talked from room besides, if we stay during weekend, we can not enjoy the restaurant and pool because there always a wedding ceremony"
Veranda Hotel at Pakubuwono,Maria Arasati,5.0,"Raise the glass for the chef! Taste of the cuisine DAEBAK! For western plate... I was there for meeting section... But someday, I'll stay for vacation...Service: 5/5 | Location: 5/5 …More"
Veranda Hotel at Pakubuwono,Dr. Maya Surjadjaja,3.0,I always remember Veranda as a great hang out place to chat n dine at the pool side .unfortunately the management seems not to care much now ; food is ok but the setrung was as it isService: 3/5 | Location: 5/5 …More
Veranda Hotel at Pakubuwono,Muhamad Fregian,1.0,"the hotel employee entered the room before we checked out, and because of smoking ash he was fined even though he didn't smoke at all in the roomRooms: 2/5 | Service: 1/5 | Location: 2/5 …More"
Veranda Hotel at Pakubuwono,kisuk Son,4.0,"I think it will be really difficult to find a hotel like this in JKT with same price. Room was clean and cozy with wooden furniture. Some 5 star hotels in JKT do not provide Aqua(Dannon) as complimentary service, but this hotel gives. Air conditioner waa also good. Fitness gym was small but still can work out.(with techno gym products.) I will recommend this hotel to my friend if my friend want a economical option. But only the bathroom...there was some moss. It can be cleaned with more attention..."
